2025-10-19 14:57:26 | WARNING  | Cannot detect or read from CBR archives
2025-10-19 14:57:26 | INFO     | Starting Codex v1.8.16
2025-10-19 14:57:26 | INFO     | Ensuring database is correct and up to date...
2025-10-19 14:57:47 | SUCCESS  | Database ready.
2025-10-19 14:57:48 | SUCCESS  | Created admin user.
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Auto Update = False
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Banner Text = True
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Folder View = True
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Import Metadata = True
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Lazy Import Metadata = True
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Non Users = True
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Registration = True
2025-10-19 14:57:48 | INFO     | Created AdminFlag: Send Telemetry = True
2025-10-19 14:57:51 | INFO     | Created Custom Covers Dir settings in the db.
2025-10-19 14:57:52 | INFO     | root_path: 
2025-10-19 14:57:52 | SUCCESS  | Running Codex v1.8.16
2025-10-19 14:57:52 | SUCCESS  | BroadcastListener started.
2025-10-19 14:57:52 | INFO     | LibrarianDaemon started all threads.
2025-10-19 14:57:52 | SUCCESS  | LibrarianDaemon ready for tasks.
2025-10-19 14:57:52 | INFO     | Started watching library /mnt/c/Users/tommy/OneDrive/Dev-Projects/VCB-Web/config/custom-covers with poll
2025-10-19 14:57:52 | INFO     | Library /mnt/c/Users/tommy/OneDrive/Dev-Projects/VCB-Web/config/custom-covers waiting for manual poll.
2025-10-19 14:57:52 | INFO     | Looking for search entries to update since the fracturing of the multiverse...
2025-10-19 14:57:53 | INFO     | Looking for missing search entries to create...
2025-10-19 14:57:53 | SUCCESS  | Search index found to be already synced in a moment.
2025-10-19 15:00:31 | INFO     | Asking hypercorn to shut down gracefully. Could take 10 seconds...
2025-10-19 15:00:31 | INFO     | LibrarianDaemon joined all threads.
2025-10-19 15:00:31 | SUCCESS  | LibrarianDaemon finished.
2025-10-19 15:00:31 | INFO     | BroadcastListener shutdown
2025-10-19 15:00:31 | SUCCESS  | Goodbye.
2025-10-19 15:00:40 | WARNING  | Cannot detect or read from CBR archives
2025-10-19 15:00:40 | INFO     | Starting Codex v1.8.16
2025-10-19 15:00:40 | INFO     | Ensuring database is correct and up to date...
2025-10-19 15:00:40 | INFO     | Database up to date.
2025-10-19 15:00:40 | SUCCESS  | Database ready.
2025-10-19 15:00:43 | INFO     | root_path: 
2025-10-19 15:00:43 | SUCCESS  | Running Codex v1.8.16
2025-10-19 15:00:43 | SUCCESS  | BroadcastListener started.
2025-10-19 15:00:43 | INFO     | LibrarianDaemon started all threads.
2025-10-19 15:00:43 | SUCCESS  | LibrarianDaemon ready for tasks.
2025-10-19 15:00:43 | INFO     | Started watching library /mnt/c/Users/tommy/OneDrive/Dev-Projects/VCB-Web/config/custom-covers with poll
2025-10-19 15:00:43 | INFO     | Library /mnt/c/Users/tommy/OneDrive/Dev-Projects/VCB-Web/config/custom-covers waiting for manual poll.
2025-10-19 15:00:44 | INFO     | Looking for search entries to update since the fracturing of the multiverse...
2025-10-19 15:00:44 | INFO     | Looking for missing search entries to create...
2025-10-19 15:00:44 | SUCCESS  | Search index found to be already synced in a moment.
2025-10-19 15:00:50 | INFO     | Asking hypercorn to shut down gracefully. Could take 10 seconds...
2025-10-19 15:00:50 | INFO     | BroadcastListener shutdown
2025-10-19 15:00:50 | INFO     | LibrarianDaemon joined all threads.
2025-10-19 15:00:50 | SUCCESS  | LibrarianDaemon finished.
2025-10-19 15:00:50 | SUCCESS  | Goodbye.
2025-10-19 15:03:59 | WARNING  | Cannot detect or read from CBR archives
2025-10-19 15:03:59 | INFO     | Starting Codex v1.8.16
2025-10-19 15:03:59 | INFO     | Ensuring database is correct and up to date...
2025-10-19 15:03:59 | INFO     | Database up to date.
2025-10-19 15:03:59 | SUCCESS  | Database ready.
2025-10-19 15:04:02 | INFO     | root_path: 
2025-10-19 15:04:02 | SUCCESS  | Running Codex v1.8.16
2025-10-19 15:04:02 | SUCCESS  | BroadcastListener started.
2025-10-19 15:04:02 | INFO     | LibrarianDaemon started all threads.
2025-10-19 15:04:02 | SUCCESS  | LibrarianDaemon ready for tasks.
2025-10-19 15:04:02 | INFO     | Started watching library /mnt/c/Users/tommy/OneDrive/Dev-Projects/VCB-Web/config/custom-covers with poll
2025-10-19 15:04:02 | INFO     | Library /mnt/c/Users/tommy/OneDrive/Dev-Projects/VCB-Web/config/custom-covers waiting for manual poll.
2025-10-19 15:04:02 | INFO     | Looking for search entries to update since the fracturing of the multiverse...
2025-10-19 15:04:02 | INFO     | Looking for missing search entries to create...
2025-10-19 15:04:02 | SUCCESS  | Search index found to be already synced in a moment.
2025-10-19 15:04:17 | INFO     | Asking hypercorn to shut down gracefully. Could take 10 seconds...
2025-10-19 15:04:17 | INFO     | LibrarianDaemon joined all threads.
2025-10-19 15:04:17 | INFO     | BroadcastListener shutdown
2025-10-19 15:04:17 | SUCCESS  | LibrarianDaemon finished.
2025-10-19 15:04:17 | SUCCESS  | Goodbye.
